,관람인원(명),사용일수(일),강수량(mm),평균기온(℃),좌석수,좌석점유율,합계_승차,미세먼지(PM10).mean,주말 여부,초미세먼지(PM2.5).mean,quantile
0,1000,1,0.0,14.9,5003,19.99,6146,39.6,1,17.5,q3
1,15246,6,0.0,15.9,11000,22.86,13492,65.8,1,28.7,q4
2,17782,6,0.0,17.6,11000,26.66,12518,50.0,1,28.8,q4
3,928,5,0.0,20.6,1473,65.63,13131,33.6,1,19.8,q5
4,4000,3,3.0,24.8,15000,8.89,5679,19.9,0,10.5,q2
5,0,1,0.0,22.4,6500,0.0,3213,19.4,1,9.9,q1
6,10000,3,0.0,25.7,15000,22.22,5577,25.5,0,12.1,q3
7,741,12,0.1,27.1,596,83.71,9703,78.9,1,59.3,q5
8,7577,5,0.0,22.3,6394,11.36,11818,31.4,1,18.9,q2
9,2330,2,0.0,19.2,7604,3.49,11696,29.2,1,18.5,q2
10,200,1,0.0,19.2,281,0.3,11696,29.2,1,18.5,q1
11,928,7,0.0,16.2,1473,64.24,10779,22.2,0,11.7,q5
12,1390,4,0.0,17.5,4166,14.163333333333332,7247,63.6,0,45.4,q3
13,670,5,0.0,13.4,15000,0.89,4082,125.8,1,60.2,q1
14,14156,4,0.0,12.4,15000,21.22,6573,58.5,0,35.2,q3
15,1000,1,0.0,18.8,5003,19.99,6744,39.7,1,14.1,q3
16,928,8,0.0,18.8,1473,73.9,8354,33.7,1,17.2,q5
17,4777,12,0.0,15.7,3000,13.27,9788,53.5,0,12.9,q3
18,1490,7,0.0,21.2,1473,65.53,11706,51.6,1,29.3,q5
19,700,1,0.0,24.7,5003,13.99,6227,39.3,1,22.4,q3
20,500,1,0.0,23.5,2640,0.75,7694,44.5,1,35.9,q1
21,500,2,0.0,29.1,12166,0.75,9103,40.1,0,28.1,q1
22,7570,6,0.0,30.1,13375,12.606666666666667,11406,32.9,1,22.0,q2
23,60,1,0.0,24.4,281,0.09,10629,46.9,1,34.1,q1
24,2665,3,0.0,21.4,1517,79.95,7703,54.6,0,39.1,q5
25,500,2,0.0,23.0,4412,0.75,8209,37.5,1,25.2,q1
26,1600,2,6.5,22.7,16813,2.4,8403,20.1,0,8.1,q1
27,9449,5,6.0,16.8,6394,14.17,12920,29.8,1,12.9,q3
28,3000,3,0.2,2.0,6500,15.38,6501,33.3,0,13.2,q3
29,15248,6,0.0,12.7,15000,22.86,9109,71.2,0,39.8,q4
30,6682,4,0.0,15.7,12208,10.02,7859,53.2,1,15.3,q2
31,2400,2,0.0,22.9,6500,18.46,7067,95.8,0,38.2,q3
32,928,9,0.0,20.5,1473,71.22,11463,32.5,1,16.2,q5
33,662,9,4.5,21.5,1158,53.13,11339,28.8,1,10.2,q5
34,7663,7,4.5,26.0,2394,48.93,9783,33.1,1,24.0,q4
35,6000,6,7.5,26.8,15000,8.99,5422,22.4,0,17.6,q2
36,150,1,0.0,22.6,6000,2.5,9571,13.5,0,5.1,q1
37,7600,2,0.5,22.7,6500,58.46,6914,36.5,0,18.8,q5
38,928,7,0.0,5.9,1473,83.94,11229,30.4,1,14.4,q5
39,235,1,4.0,4.9,369,63.69,3467,51.9,1,32.8,q5
40,3100,2,0.0,19.2,6500,23.85,3877,48.2,0,23.6,q4
41,928,7,32.0,14.2,1473,64.52,10239,12.6,1,12.2,q5
42,7354,7,6.5,16.3,6394,15.973333333333331,4328,15.9,0,8.7,q3
43,521,3,0.0,20.9,369,47.06,6769,44.7,0,24.3,q4
44,1200,6,0.5,23.7,6500,3.08,9083,35.7,1,18.4,q2
45,1333,7,0.0,27.1,369,51.61,8021,70.8,0,44.1,q5
46,198,2,0.0,23.9,369,26.83,6002,7.0,0,3.1,q4
47,547,3,0.0,30.1,369,49.41,5208,44.1,0,30.6,q4
48,1173,5,19.5,22.7,369,22.71,5493,10.2,0,3.5,q4
49,553,3,0.0,15.3,369,49.95,4823,30.6,0,11.8,q4
50,6000,2,0.0,13.8,15000,20.0,7280,60.8,0,22.2,q3
51,364,1,0.0,4.9,369,41.35333333333333,12211,32.3,1,19.2,q4
52,1435,1,9.5,11.5,369,27.78,5406,43.9,0,35.6,q4
53,1400,1,0.0,19.5,6500,21.54,6162,84.3,1,52.5,q3
54,928,7,0.0,22.8,1473,63.81,10498,26.4,1,11.5,q5
55,1200,1,0.0,25.0,6500,18.46,10052,19.8,1,10.2,q3
56,0,1,0.0,25.0,5003,0.0,10052,19.8,1,10.2,q1
57,5216,2,60.0,25.1,2079,38.026666666666664,5682,14.3,0,14.0,q4
58,103,1,0.0,30.4,369,27.91,4869,12.0,0,7.4,q4
59,660,3,0.0,7.8,369,59.62,5198,40.4,0,17.7,q5
60,850,6,0.0,9.9,15000,0.94,2066,40.7,1,23.9,q1
61,1200,12,0.0,27.3,15000,0.67,4095,55.3,0,34.1,q1
62,30,2,0.1,25.5,369,4.07,4445,15.6,0,7.2,q2
63,0,2,2.9,22.5,5003,0.0,4442,5.9,0,2.4,q1
64,750,2,2.9,22.5,6500,5.77,4442,5.9,0,2.4,q2
65,30,3,50.1,23.7,369,2.71,4205,15.4,0,8.5,q2
66,200,8,0.0,24.3,369,6.78,5303,25.8,0,17.3,q2
67,0,7,4.5,22.8,9937,0.0,7102,21.8,1,14.8,q1
68,300,2,0.0,26.6,1184,12.67,7616,24.8,0,14.2,q3
69,1030,6,0.0,2.3,6500,2.64,2525,43.4,1,6.8,q1
70,1050,8,114.5,25.0,3062,3.98,5729,8.6,0,6.8,q2
71,400,2,5.2,25.1,6500,3.08,4473,34.4,0,15.8,q2
72,1080,4,0.0,12.9,5003,5.4,5174,40.9,0,18.3,q2
